sentence_index,NN,IN,JJ,NNS,DT,PRP,VBG,RB,VBP,CC,VB,VBZ,VBN,TO,PRP$,WRB,MD,VBD,WDT,NNP,WP,RP,POS,RBR,EX,CD,JJR,UH,PDT,JJS,RBS,(,),#,FW,NNPS
27,23.0,17.0,17.5,18.5,10.5,8.0,9.0,5.0,7.0,7.5,7.5,5.0,7.5,2.5,2.5,3.0,4.5,0.5,1.5,2.0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
28,28.0,19.0,15.5,15.5,10.0,9.5,9.0,5.0,7.5,6.5,8.0,5.5,6.5,5.0,4.0,2.0,2.5,1.5,3.0,0.5,1.0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0,0
29,23.0,14.5,16.5,16.0,9.5,8.0,10.5,6.5,6.5,7.0,5.5,3.5,7.5,3.5,3.5,1.0,3.0,0.5,2.0,1.0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0
30,22.5,15.0,15.5,18.0,9.5,11.5,8.0,11.0,6.0,7.5,6.5,8.0,7.5,4.5,2.0,2.0,1.0,2.5,1.0,1.0,1.0,1.5,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0
31,28.0,19.0,17.5,15.0,12.0,9.0,10.0,9.0,9.0,5.0,5.5,4.5,7.0,4.5,2.5,3.0,1.5,1.0,1.5,0.5,0.5,2.0,1.0,0.5,0,0.5,1.0,0,0,0,0,0,0,0,0,0
32,26.0,14.5,14.5,14.0,9.0,8.5,10.0,10.5,9.0,5.5,6.5,4.5,5.0,4.5,1.0,3.5,2.0,2.0,1.0,1.0,0.5,0,0,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0
33,24.0,17.0,17.5,20.5,8.0,7.5,9.0,6.5,6.5,6.0,5.0,6.5,4.0,3.5,1.5,3.0,1.0,1.5,0.5,0.5,0,1.0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0
34,23.0,17.0,21.5,14.0,7.5,9.5,11.5,5.5,7.5,5.5,5.5,5.5,3.5,3.5,3.0,1.5,1.5,2.0,1.0,1.0,1.0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
35,23.5,18.5,20.0,14.0,10.5,7.5,10.5,7.0,6.0,7.5,5.5,7.0,5.5,3.0,4.5,0.5,1.0,3.5,2.5,1.0,1.0,1.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0
36,23.5,15.0,21.0,15.5,11.0,10.0,10.0,6.0,6.5,6.5,5.0,6.5,4.0,2.5,2.5,2.5,2.5,3.0,1.5,0,0.5,1.0,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
37,19.5,15.5,23.0,15.5,9.5,13.0,8.0,8.0,10.5,6.0,7.0,4.5,4.0,3.0,2.0,3.0,2.5,1.0,2.0,1.5,0,0.5,0,0,1.0,0.5,1.0,0,0.5,0,0,0,0,0,0,0
38,24.5,14.0,21.5,13.5,10.5,11.5,7.0,10.0,7.0,6.5,7.0,4.0,3.0,4.0,1.0,2.5,2.0,3.5,2.0,0,1.0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0
39,29.0,20.5,21.5,16.5,8.0,8.0,11.5,3.0,6.0,6.0,5.5,8.5,4.5,5.0,2.0,3.0,1.5,1.0,1.5,0.5,1.0,1.5,0,1.5,1.0,0.5,0,0,0.5,0,0,0,0,0,0,0
40,31.5,19.0,19.0,17.0,11.5,8.5,11.0,8.5,6.0,6.5,5.0,7.5,2.5,3.5,3.0,2.0,2.0,2.0,2.5,0,0.5,0.5,1.0,0.5,1.0,0,0.5,0,0,0,0,0,0,0,0,0
41,31.5,22.0,20.5,15.5,10.0,7.5,11.0,8.5,4.5,6.5,6.0,7.0,3.0,4.0,3.5,3.0,2.0,2.0,2.0,0.5,1.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
42,27.5,20.0,24.5,21.0,10.0,6.0,12.5,5.5,7.0,6.5,4.5,3.0,4.0,2.5,3.0,2.0,2.0,1.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0
43,30.5,21.5,21.0,17.0,10.0,10.5,8.5,8.0,12.0,7.0,6.0,4.0,4.0,2.5,2.0,2.0,2.0,0.5,1.0,2.5,1.0,0.5,1.0,0.5,0,1.0,1.0,0,0,0,0,0,0,0,0,0
44,33.5,23.0,19.0,18.0,11.5,8.5,10.5,3.5,7.5,5.5,6.0,4.5,4.5,3.5,5.0,2.0,2.0,2.0,2.5,2.0,1.0,1.5,0.5,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0
45,29.0,19.0,21.0,21.0,10.5,9.0,9.5,5.5,6.5,5.0,4.5,7.0,4.0,3.0,3.0,3.0,2.0,1.0,3.5,0.5,1.0,0,1.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
46,31.5,22.0,19.5,21.5,13.0,6.5,9.5,7.0,10.0,5.5,5.0,5.0,4.5,2.5,3.0,3.0,2.0,1.5,1.5,1.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0
47,25.5,20.5,26.0,19.5,8.0,7.5,8.5,6.0,5.0,5.0,8.5,7.0,5.5,4.5,1.5,2.5,3.5,1.5,1.0,1.0,1.5,1.0,0.5,1.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0
48,25.5,20.0,22.0,18.5,12.0,8.0,8.0,7.0,6.5,7.5,3.5,5.5,3.5,2.5,1.5,2.0,1.5,1.0,0.5,2.5,1.5,2.0,0.5,0.5,0,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0
49,26.0,23.0,20.0,19.0,10.0,8.5,8.5,4.5,7.0,5.0,8.5,4.0,3.5,4.5,0.5,2.0,2.5,1.5,1.0,1.0,1.0,0,1.0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0
50,29.0,24.0,18.0,19.0,11.0,8.0,11.5,6.0,9.5,6.0,4.5,5.0,3.5,2.5,2.0,2.0,1.0,1.0,2.0,1.5,1.0,1.0,1.5,1.0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0
