sentence_index,NNS,NN,JJ,IN,RB,VBG,VBN,VB,VBP,DT,NNP,CC,VBZ,TO,MD,CD,VBD,PRP,PRP$,WRB,WDT,JJR,WP,RBR,POS,),(,EX,RP,JJS,FW,NNPS,RBS,PDT
34,98.0,90.5,53.0,18.0,8.5,22.5,41.0,11.0,13.0,4.5,10.5,6.5,5.0,3.5,3.5,4.5,7.5,0,0.5,1.5,1.0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
35,114.0,36.5,46.0,18.0,43.5,40.0,14.5,10.0,15.0,4.5,9.0,7.5,8.0,5.5,2.0,5.0,3.0,0,2.5,0.5,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
36,53.0,54.5,61.5,20.0,51.5,37.5,52.5,13.0,7.5,3.5,16.5,9.0,3.5,4.5,4.0,5.0,10.5,1.5,2.5,1.0,1.0,0,0.5,1.0,0,0.5,0.5,0,0,0,0,1.0,0,0
37,137.5,78.5,38.0,18.5,26.0,23.5,8.0,6.5,16.0,8.0,10.5,8.0,8.0,2.5,1.0,3.0,0.5,1.0,1.0,1.0,1.0,0,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0
38,76.5,122.0,48.0,20.0,28.0,26.5,10.5,7.5,10.0,9.0,16.5,6.0,7.0,3.0,1.0,4.0,1.0,0.5,2.0,0.5,1.0,0.5,0,1.0,0.5,0,0,1.0,0,0,0.5,0,0,0
39,16.0,108.0,54.0,15.0,9.0,15.0,6.5,8.0,5.5,8.0,4.5,6.0,2.0,2.5,4.5,0,2.5,3.5,2.5,1.0,0,0,1.0,0,0,0.5,0.5,0,0,0,0.5,0,0,0
40,26.5,115.0,64.0,13.5,4.0,12.5,5.0,10.5,6.5,5.0,15.0,7.0,1.0,4.0,3.5,3.5,2.0,1.5,0.5,2.0,2.0,1.0,0,1.0,0,0,0,0.5,0,0,0.5,0,0,0
41,38.5,57.0,39.5,19.0,9.0,45.5,3.5,6.5,6.0,7.5,14.5,5.0,4.0,3.0,1.5,2.5,0.5,1.5,2.0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0.5,0,0.5,0
42,123.5,127.5,43.0,17.5,5.0,20.5,3.0,6.0,11.0,8.5,13.5,7.0,6.5,3.0,3.5,2.0,1.5,1.0,1.5,1.0,2.0,0,0.5,0,0.5,1.0,1.0,0,0,0,0.5,0,0,0
43,170.5,70.5,30.5,22.0,10.5,15.0,2.5,8.5,13.0,7.0,13.0,7.0,8.0,2.5,3.5,2.5,0.5,0.5,1.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0
44,110.5,168.5,42.5,18.5,4.5,10.0,2.0,4.0,11.0,5.0,7.5,6.0,4.5,2.5,1.0,2.5,4.5,1.0,1.0,0.5,1.0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0
45,123.5,93.5,42.0,24.5,6.0,22.5,2.0,9.0,11.5,8.0,13.5,7.0,6.0,4.0,2.5,2.5,1.5,1.0,2.0,1.0,1.5,1.0,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0
46,110.0,88.0,43.5,22.0,7.5,64.5,2.5,11.0,14.5,6.5,12.5,7.5,3.5,3.0,2.0,3.5,1.0,0,1.5,1.0,2.0,0,0,0,1.0,0.5,0.5,0,0,0,0,0.5,0,0
47,108.5,97.5,32.5,16.0,20.5,36.0,7.5,8.5,9.5,12.0,9.5,7.0,5.0,3.0,3.5,2.5,2.5,1.0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0
48,111.0,110.5,32.0,18.5,6.5,7.0,4.0,13.0,15.0,6.5,9.5,8.0,3.0,4.5,4.5,2.0,1.5,2.0,3.0,0,1.0,0.5,1.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0
49,215.0,39.5,25.0,13.5,3.0,12.0,2.0,9.5,21.5,9.5,17.0,7.5,8.0,4.5,2.5,3.5,1.0,1.5,2.0,1.0,0.5,1.0,1.5,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0
50,188.0,82.0,30.0,16.0,4.0,7.0,1.0,12.5,14.5,9.5,19.5,8.5,7.0,2.5,3.5,3.5,3.0,2.0,1.5,1.0,0.5,1.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0
