sentence_index,NN,NNS,JJ,IN,RB,VBG,VB,DT,VBP,NNP,CC,VBN,PRP,VBZ,TO,MD,VBD,WRB,PRP$,CD,WP,WDT,RP,JJR,RBR,POS,EX,PDT,RBS,),(,JJS,NNPS,FW,UH,LS
26,46.5,20.5,39.5,19.0,40.5,15.5,10.0,8.0,3.0,1.0,7.0,10.0,4.0,7.0,4.5,3.0,4.0,1.5,3.0,0.5,1.0,2.0,0.5,1.5,0,1.0,0,0,0,0,0,0,0,0,0,0
27,23.0,18.5,18.5,21.0,9.0,9.5,7.5,10.0,6.0,2.0,5.5,2.5,3.5,4.5,1.5,2.5,0.5,2.0,3.0,0.5,1.0,0.5,0.5,1.0,0,0,0,0.5,0,0,0,0,0,0,0,0
28,22.0,18.5,22.0,14.0,7.0,6.5,8.0,11.0,5.0,3.5,6.5,4.0,4.0,5.5,5.5,4.0,2.0,1.0,2.5,0.5,2.0,1.5,0,1.0,0.5,0.5,1.5,1.0,0.5,0,0,0,0,0,0,0
29,77.0,24.5,44.0,17.0,15.0,10.0,10.5,8.0,6.5,3.5,4.5,40.0,3.0,3.5,3.5,3.5,8.0,1.5,1.5,1.0,2.0,0.5,1.0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0
30,10.5,16.0,12.5,9.5,4.5,8.0,5.0,5.0,3.5,3.5,4.5,1.5,2.5,2.0,2.0,1.0,1.5,1.0,1.5,0.5,0.5,0,0,0,0.5,0,0,1.0,0,0.5,0.5,0,0,0,0,0
31,49.0,27.5,75.0,15.5,26.5,22.0,5.0,6.0,5.5,5.0,6.0,35.0,2.0,2.5,2.0,2.5,9.0,1.5,1.5,1.0,0.5,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0
32,32.5,24.5,20.5,15.5,15.0,9.0,3.5,7.5,4.5,2.5,6.0,2.5,6.0,4.0,2.0,1.5,2.5,2.0,1.5,0.5,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
33,16.0,18.5,17.5,12.0,6.5,7.5,8.5,4.5,4.5,10.5,6.5,2.5,3.5,1.5,3.0,1.5,1.0,0.5,2.5,3.0,1.5,1.0,0.5,0.5,1.0,0,0,0,0,0.5,0.5,0,0.5,0,0,0
34,30.5,76.5,17.5,8.0,2.5,17.5,6.5,2.5,8.0,10.5,4.0,1.5,1.0,5.5,1.0,1.5,1.5,1.0,1.0,3.0,1.0,0.5,0.5,0,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0
35,42.5,69.5,17.5,11.0,20.5,19.0,7.0,3.0,8.0,9.5,4.0,13.0,4.0,4.0,2.0,1.0,1.5,1.5,0.5,2.5,1.5,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
