sentence_index,NN,IN,JJ,RB,VB,NNS,DT,PRP,VBG,CC,VBP,VBZ,TO,MD,VBN,NNP,PRP$,WRB,RP,WP,VBD,JJR,POS,WDT,EX,RBR,UH,JJS,CD,PDT,RBS,FW
33,11.5,12.5,12.5,8.5,10.0,9.0,8.0,6.0,6.0,5.0,3.0,3.0,2.5,3.0,0.5,2.0,1.5,1.5,1.0,0,2.0,1.0,0,0.5,1.0,0,0,0,0,0,0,0
34,19.5,13.5,10.5,9.5,9.0,7.0,6.5,4.5,5.5,5.0,4.0,1.5,3.0,2.5,1.0,1.5,0.5,0.5,1.0,0,0.5,0.5,0,1.0,0.5,0,0,0,0,0,0,0
35,12.5,10.5,11.0,10.0,10.5,10.0,6.5,6.0,4.0,5.5,4.5,2.5,3.0,4.0,0.5,1.0,1.5,0.5,1.0,0.5,1.0,0.5,2.0,0.5,0.5,0,0.5,0,0,0,0,0
36,16.5,11.5,14.0,7.0,9.5,10.5,9.5,5.5,4.0,6.0,2.5,5.0,4.0,2.5,1.5,0,1.0,0,1.0,0.5,0,0.5,0,0.5,1.0,0,0,0,0,0,0.5,0
37,13.5,11.5,15.0,8.0,6.0,7.0,9.5,7.5,7.5,5.5,4.5,7.0,1.0,2.0,0.5,2.5,0.5,1.0,0,1.5,0,0.5,0,1.0,0.5,0.5,0,0.5,0.5,0,0,0
38,13.0,9.5,10.5,8.5,10.0,8.0,6.0,7.0,7.0,4.5,4.5,3.5,4.0,3.0,2.5,1.0,1.5,0,1.5,0.5,0,0,0,1.0,0,1.0,0,0,0,0,0,0
39,15.0,13.0,11.5,5.5,8.5,9.0,8.0,5.0,4.0,4.0,3.0,1.5,3.0,3.5,1.5,1.5,0,2.5,0.5,0,2.0,0,1.5,1.5,0,0,0.5,0,0,0.5,0,0
40,18.0,10.5,12.5,8.5,8.0,6.5,9.5,7.0,2.0,4.5,5.0,5.5,4.5,2.0,2.5,1.0,0.5,1.0,0,0.5,0.5,0,0,0,0,1.0,0,0,0,0,0,0
41,8.5,4.5,6.5,2.5,4.5,4.0,3.5,1.5,1.0,1.5,1.5,0.5,1.0,2.0,0,0,0.5,0,0.5,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0
42,15.0,9.0,13.0,12.5,9.0,6.5,6.5,7.0,3.0,4.5,4.5,6.0,2.5,4.0,2.0,1.5,0,1.0,2.0,0.5,0.5,0.5,1.5,1.5,1.5,0,0,0,0.5,0,0,0
43,19.5,11.5,15.0,10.0,8.5,9.0,8.0,7.0,5.0,6.5,4.5,4.5,3.0,3.0,2.0,1.0,1.0,1.0,0.5,0,2.0,0.5,0.5,0.5,1.5,0,0,0,0,0.5,0,0
44,17.5,12.0,13.5,10.5,8.5,10.5,7.5,4.5,6.0,5.5,6.0,2.0,3.0,2.0,0.5,0,1.0,0,0,1.0,0,1.0,1.0,0.5,0.5,1.0,0.5,0,0,0,0,0
45,16.5,11.0,12.0,9.5,8.5,7.0,6.5,6.0,4.5,4.5,6.5,2.0,4.0,3.0,2.5,0.5,2.5,1.5,0.5,1.0,0,1.0,0,0,0.5,1.5,0,0,0,0,0,0
46,14.5,13.0,11.0,11.5,10.5,9.0,6.5,6.5,2.0,3.5,5.0,2.5,3.0,4.0,3.5,0.5,1.0,1.5,0.5,0,0.5,1.0,0.5,0,0,1.0,0,0.5,0.5,0.5,0,0
47,15.0,13.0,11.5,9.5,8.0,9.5,5.5,7.5,6.0,7.0,3.0,4.5,2.5,3.0,1.5,0.5,0.5,1.5,1.0,0.5,0.5,2.5,0.5,0,0,0,0,0,0,0,0,0
48,14.5,10.5,8.5,8.0,8.0,9.5,7.5,7.0,6.5,4.5,3.5,3.0,4.5,3.5,2.5,1.5,0.5,0.5,0.5,0,0.5,1.5,0.5,1.0,1.0,0,0.5,0.5,0,0,0.5,0
49,16.0,13.5,9.5,7.0,10.5,11.0,7.0,7.0,6.0,5.5,4.5,2.0,3.5,3.5,2.5,1.0,3.0,1.5,0.5,1.0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0
50,18.5,10.5,14.5,10.0,6.5,9.5,8.5,3.5,4.0,4.5,3.5,4.5,2.0,2.0,2.0,1.5,1.0,1.0,0.5,0.5,0,0.5,0.5,1.0,0.5,0.5,0,0.5,0,0,0,0
