sentence_index,NN,JJ,NNS,IN,NNP,DT,VB,VBG,RB,CC,VBZ,PRP,VBP,TO,VBN,CD,PRP$,WRB,MD,VBD,WDT,WP,JJR,POS,RBR,RP,NNPS,RBS,PDT,JJS,),(,FW,EX,UH,WP$
30,32.0,27.5,21.5,17.5,15.5,11.5,6.5,7.5,6.5,7.5,6.5,3.0,4.5,2.5,0.5,3.5,2.0,2.0,1.0,1.5,1.5,0.5,0,1.5,0.5,0,0,0,0,0,1.0,1.0,0,0,0,0
31,30.0,22.0,22.5,16.5,17.0,11.5,8.0,10.5,8.0,7.0,6.0,3.0,5.5,3.0,3.5,3.5,2.0,2.0,0.5,2.0,0.5,0.5,1.0,1.0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0
32,28.0,22.5,20.0,15.0,19.5,7.5,7.5,11.5,6.0,8.0,5.0,3.5,5.0,3.5,2.0,3.5,3.5,3.0,1.0,1.0,1.5,0,1.0,0,0.5,0,0,0,0.5,0,0.5,0.5,2.0,0.5,0,0
33,29.5,25.5,21.0,16.0,19.0,13.0,4.5,10.0,6.0,7.0,7.5,3.0,5.0,3.0,4.5,3.5,2.0,2.0,0.5,1.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0
34,31.5,23.5,24.0,16.0,16.0,9.5,5.0,13.5,12.5,7.0,6.5,4.0,6.0,2.5,2.0,3.5,1.5,1.0,0,0,0.5,0.5,1.0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
35,35.0,22.0,19.0,15.5,16.5,8.5,8.5,7.0,6.0,7.5,5.5,5.5,6.0,3.0,3.5,3.5,1.5,2.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
36,28.0,28.0,20.5,13.5,18.5,7.5,7.5,8.5,9.5,8.0,7.5,3.5,4.5,2.5,3.5,4.5,2.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,1.0,0,0,0.5,0,0,0,0,0,0,0,0
37,27.0,24.0,23.5,14.0,16.0,9.0,7.0,10.0,5.5,7.0,5.5,3.5,5.5,3.0,2.0,3.5,2.5,1.0,0.5,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
38,34.5,21.5,25.5,19.0,16.5,8.0,6.0,4.5,8.5,7.5,5.5,4.0,3.5,3.5,3.0,3.5,3.0,2.5,1.0,1.0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
39,24.5,22.0,21.5,17.0,12.0,7.0,8.5,7.5,8.5,6.5,6.0,4.5,5.0,3.0,2.0,3.0,1.5,2.5,1.0,1.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
