sentence_index,NN,JJ,NNS,IN,NNP,DT,VBG,VB,RB,CC,VBZ,PRP,VBP,TO,VBN,PRP$,CD,WRB,MD,VBD,WDT,WP,POS,JJR,RBR,RP,NNPS,RBS,),(,FW,PDT,EX,JJS,UH,WP$
38,28.5,21.5,19.0,14.0,15.5,9.5,9.0,10.0,6.0,8.0,7.5,5.5,3.5,4.5,3.0,0.5,3.5,2.0,1.5,1.5,1.0,1.5,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0
39,31.5,19.0,20.0,13.5,18.0,11.0,9.0,6.5,6.0,9.0,7.5,2.5,4.0,3.5,4.0,2.5,3.5,3.0,0.5,2.0,0,0,0.5,1.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0
40,31.5,20.0,21.5,15.5,16.5,8.0,9.0,9.5,8.0,7.5,5.5,2.5,1.5,3.0,3.0,3.0,3.5,1.0,1.0,1.0,1.0,0,1.0,0,0.5,0,1.0,0,0,0,0,0,0,0,0,0
41,25.0,22.5,21.5,17.5,17.0,10.0,9.0,11.5,6.5,8.0,7.5,5.0,5.0,4.0,2.5,2.0,3.5,2.5,2.5,1.0,1.0,0,0.5,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0
42,24.5,26.5,25.5,16.5,13.0,7.0,8.0,9.0,5.5,7.0,4.5,3.0,4.5,3.5,2.0,3.0,3.5,1.5,0,2.0,0.5,0,1.0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
43,27.5,22.0,21.0,12.5,17.5,8.0,8.0,6.5,5.5,6.5,6.5,2.5,3.5,2.0,5.0,1.5,4.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
44,26.0,19.0,20.0,13.0,17.0,8.5,9.5,8.5,7.5,8.0,6.0,3.0,5.0,3.5,1.5,2.5,3.5,1.5,1.0,1.0,1.0,0.5,1.0,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0
45,28.5,24.0,23.0,15.0,17.0,9.5,6.5,5.5,5.5,8.5,4.5,2.0,5.0,2.5,1.0,3.0,3.5,1.5,1.0,1.0,1.0,1.0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
46,26.0,20.0,15.5,13.5,18.5,7.0,7.5,10.0,10.5,7.5,3.5,6.0,6.0,3.5,2.0,2.0,3.5,2.5,1.0,1.5,1.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
47,27.0,18.5,16.5,13.5,15.5,7.5,6.0,12.0,7.5,8.0,4.0,8.0,5.0,3.5,1.0,3.0,3.5,1.5,1.5,0.5,1.0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0
48,25.0,19.0,18.5,14.5,18.0,6.0,6.5,9.5,5.0,6.5,3.5,6.0,4.0,2.5,1.5,3.0,3.5,2.5,0.5,2.5,1.0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0
49,28.5,23.0,18.0,11.0,19.5,7.5,9.0,7.5,12.0,6.5,3.5,5.5,6.0,2.0,1.5,2.0,3.5,2.5,0.5,1.0,1.0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0
50,29.0,25.5,18.5,10.0,18.0,6.5,11.0,8.5,15.5,7.0,7.0,3.0,4.0,2.5,1.5,1.5,3.5,2.0,1.0,2.0,1.0,0.5,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
