sentence_index,NN,NNS,IN,JJ,VBG,VB,DT,RB,CC,PRP,VBP,VBZ,TO,MD,VBN,WRB,PRP$,NNP,VBD,WDT,WP,RP,RBR,JJR,CD,EX,POS,JJS,RBS,),(,UH,PDT,NNPS,$
1,10.5,4.0,5.5,8.5,1.0,4.0,3.0,3.0,3.5,5.5,3.0,3.5,2.5,1.5,0.5,1.5,0.5,0.5,0,0.5,0,0,1.0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0
2,11.0,6.5,9.0,8.5,3.5,6.5,4.5,3.5,4.5,8.0,6.5,3.0,3.5,1.5,0.5,1.5,1.5,0,0.5,0,1.5,0,0.5,2.5,0.5,0,0,0,1.0,0,0,0,0,0,0
3,12.0,7.0,9.5,9.0,5.0,5.5,7.0,5.0,5.0,5.5,3.0,3.0,2.0,2.0,0,2.0,1.0,0.5,1.5,0,1.0,1.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
4,9.5,10.0,7.5,7.0,4.0,5.5,6.5,5.5,4.5,4.5,2.0,1.5,2.0,2.5,1.5,2.5,0.5,0.5,4.5,1.5,1.0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0
5,15.0,9.0,9.0,9.0,4.5,8.0,3.0,8.0,6.0,10.0,9.0,2.0,1.5,4.0,1.5,3.5,1.5,1.0,0,0.5,1.0,0,1.0,0,0,0,0.5,0,0,0,0,0,0,0,0
6,15.0,8.0,10.0,12.0,7.0,5.5,5.5,5.5,6.5,7.5,6.0,2.0,3.0,2.0,1.5,2.0,1.5,0,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
7,10.5,10.0,9.5,6.0,4.5,6.0,4.0,6.5,6.5,5.5,4.0,2.0,1.0,4.5,0.5,2.0,2.0,1.0,0,0.5,0.5,0.5,1.0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0
8,12.5,11.0,6.5,7.0,5.0,6.5,6.5,5.0,5.0,6.0,5.5,2.0,3.5,3.0,0.5,2.5,3.5,0,1.0,0.5,1.5,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0
9,13.0,9.0,10.0,7.0,8.5,9.5,7.0,3.5,3.5,4.0,2.0,1.0,3.0,2.5,2.0,1.5,1.0,0.5,3.0,0.5,0,1.0,0,0.5,1.0,1.0,0.5,0,0,0,0,0,0,0,0
10,12.0,8.5,11.0,5.5,7.0,7.5,5.0,6.0,3.5,6.5,3.5,2.0,2.5,3.5,1.0,1.0,1.0,0.5,1.5,1.0,1.0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
11,10.0,8.5,11.0,6.5,5.0,6.5,5.0,3.5,3.5,9.5,5.0,3.5,2.5,2.5,1.5,2.5,4.0,0.5,0,1.0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
12,12.5,10.5,9.0,9.0,5.0,7.5,5.0,5.5,4.5,7.0,5.5,1.5,4.0,3.5,3.5,1.0,1.0,0,1.0,0.5,0.5,1.0,2.0,2.0,0,0,0.5,0,0,0,0,0,0,0,0
13,11.0,8.5,10.0,11.0,6.5,4.5,4.5,6.5,3.5,7.5,3.5,1.0,1.5,4.0,1.5,2.5,2.0,0,5.5,1.5,0.5,1.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0
14,11.5,12.0,7.0,10.5,5.5,6.0,6.0,6.0,6.5,4.5,3.5,1.5,1.5,3.5,1.5,2.5,1.0,0,1.0,0,1.0,0.5,1.0,0,0,0,0,0.5,0,0,0,0,0,0,0
15,13.0,11.0,10.5,10.0,5.0,6.0,6.0,4.5,5.5,4.5,3.5,1.5,2.5,3.0,1.5,1.0,1.5,3.5,4.5,1.0,0.5,0.5,0.5,0.5,0,1.5,0,0,0,0,0,0,0,0,0
16,13.5,14.0,12.5,12.0,7.0,6.0,7.0,4.0,5.0,5.0,2.5,2.0,2.0,2.5,1.0,2.0,2.5,0,6.0,1.0,0.5,1.0,0,0.5,0,0,0,1.5,0,0,0,0.5,0,0,0
17,13.0,11.5,9.5,12.0,5.5,6.5,9.0,4.5,5.5,7.5,6.0,3.0,4.0,2.0,1.5,1.5,0.5,2.0,1.0,1.0,0,0,2.5,1.0,0,1.0,0,0,0,0,0,0,0,0,0
18,9.5,13.5,10.5,10.5,6.0,8.0,5.0,7.5,5.0,6.5,3.5,2.0,4.0,3.5,3.0,2.0,1.5,1.0,2.0,0,0,0.5,0.5,0.5,0,2.0,0,0,0,0,0,0.5,0,0,0
