sentence_index,NN,IN,JJ,RB,DT,NNS,VB,PRP,VBP,VBG,CC,VBZ,TO,WRB,VBN,NNP,MD,PRP$,WP,RP,VBD,POS,UH,WDT,JJR,JJS,RBR,EX,CD,PDT,RBS,FW,NNPS,WP$
29,19.0,12.5,10.5,8.5,8.5,5.5,9.0,6.5,3.5,6.0,5.0,6.5,4.0,1.0,1.5,2.0,3.0,2.5,2.0,0,0,1.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0
30,11.5,12.0,12.5,9.0,7.0,9.0,6.0,5.0,6.5,5.5,5.0,4.0,3.0,1.0,1.5,1.5,2.0,1.0,1.0,1.0,0.5,0,1.0,0,0.5,0.5,0.5,0,0,0,0,0,0,0
31,15.0,15.5,13.5,5.5,8.5,12.0,8.5,7.5,7.0,5.0,5.0,5.5,5.5,1.0,2.5,1.0,2.0,3.0,1.0,1.0,0.5,0,1.0,1.5,0.5,0,0,0,0,0,0,0,0,0
32,15.0,13.0,7.5,10.0,6.0,7.5,7.5,9.0,4.5,4.5,4.5,4.0,4.5,1.0,3.5,1.5,2.0,2.0,0.5,1.5,0,1.0,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0
33,18.5,11.5,11.0,8.5,9.5,7.0,6.0,6.5,5.5,6.0,4.5,5.5,2.0,2.0,1.5,0,2.0,2.0,1.5,2.5,1.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0
34,15.5,12.5,14.0,7.0,8.0,7.5,9.0,8.5,3.5,6.0,5.5,4.5,3.5,1.5,2.0,1.0,3.5,2.5,1.0,1.5,0,0.5,0,0.5,1.0,0,0,0,0,0,0,0,0,0
35,15.5,12.5,14.5,6.5,7.0,7.0,6.5,8.0,5.5,3.5,4.5,3.5,2.5,1.5,1.5,1.5,1.0,3.0,0.5,1.0,1.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0
36,16.0,13.5,9.5,8.0,8.5,8.5,7.5,6.0,6.5,5.0,4.5,2.0,2.5,1.0,0,0.5,2.5,2.0,0.5,2.0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0
37,18.5,12.5,9.0,4.5,12.0,7.0,7.5,6.0,5.5,5.0,4.0,1.0,3.5,1.5,2.0,1.5,1.5,2.0,1.0,1.5,2.5,0.5,1.0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0
38,18.0,12.5,9.5,9.0,8.5,8.5,6.0,3.5,5.0,2.5,6.5,3.5,3.0,1.0,3.0,1.5,1.5,1.0,1.0,1.5,2.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0
