sentence_index,NN,IN,JJ,DT,PRP,RB,NNS,NNP,VBD,VB,VBP,CC,VBG,VBZ,PRP$,VBN,TO,WRB,WP,RP,MD,CD,POS,WDT,EX,PDT,JJS,UH,JJR,RBR,RBS,NNPS,$,FW
27,11.0,10.0,10.5,9.5,7.5,4.0,7.5,5.5,6.5,2.0,3.0,1.5,3.0,3.0,3.0,1.5,1.5,2.0,0.5,1.0,0,1.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0
28,15.0,9.5,10.0,8.5,6.5,2.5,6.5,5.5,6.0,1.5,2.5,2.0,3.0,3.0,2.5,1.0,2.0,2.0,0.5,1.5,0,1.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0
29,15.0,8.5,9.5,7.0,6.5,6.0,3.0,1.5,4.5,2.0,2.5,2.5,5.5,1.0,1.5,2.0,0.5,1.0,0.5,0.5,1.0,1.0,0,0,0,0,0.5,0,0,0,0,0,0,0
30,16.0,8.5,10.0,7.5,6.0,5.5,3.0,2.5,4.5,2.0,2.5,1.0,4.0,2.5,2.5,1.5,0,1.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
31,16.0,9.0,9.5,7.5,6.0,6.0,3.0,2.0,5.0,1.5,3.0,2.5,4.0,1.5,2.5,1.0,1.5,0.5,1.5,1.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0
32,14.5,10.5,7.5,5.5,7.5,4.0,5.0,2.5,6.0,1.0,3.0,3.0,3.5,2.5,2.5,1.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0
33,13.5,9.5,6.5,9.0,6.5,6.0,5.5,3.5,4.0,2.0,3.5,2.5,1.5,3.0,1.0,2.5,1.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.5
34,9.5,9.0,5.5,7.5,7.0,6.0,6.5,3.0,3.0,4.0,3.0,3.0,2.5,2.5,1.0,1.5,1.5,0,2.0,0.5,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
35,15.0,8.0,5.0,6.0,4.5,3.0,4.5,2.5,0.5,5.5,3.0,3.5,3.5,3.5,1.0,1.0,2.0,1.5,1.5,0,2.0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0
36,9.0,7.0,6.5,8.5,2.5,5.0,6.5,6.5,0.5,3.5,2.0,2.5,3.0,4.0,1.5,0.5,1.5,0,0.5,0.5,1.5,0,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0
37,11.5,8.0,7.0,10.0,5.5,5.0,4.0,6.5,4.0,2.5,1.5,2.0,3.0,1.0,0,1.0,2.0,0.5,0.5,1.0,0,0.5,0.5,0,0,1.0,0.5,0,0,0,0.5,0,0,0
38,13.0,8.5,6.0,8.5,6.0,5.5,4.0,5.5,4.5,2.5,2.0,2.0,1.5,2.5,1.0,2.0,2.0,1.0,0.5,2.0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
39,11.5,7.0,9.0,9.0,6.5,4.5,5.5,6.0,5.0,4.0,3.0,2.0,2.5,2.5,1.0,0.5,2.0,1.5,0.5,1.0,1.0,1.0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0
40,15.0,10.5,7.0,11.5,6.0,4.0,4.0,4.0,4.0,1.5,2.0,2.5,1.5,3.5,1.5,1.5,1.5,0.5,0.5,0.5,1.0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
41,14.0,9.5,6.5,8.5,5.0,4.5,3.5,5.5,3.0,5.5,2.5,2.0,2.5,1.0,2.0,0.5,2.0,0.5,0.5,0,0.5,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0
42,7.5,7.5,5.0,6.0,5.5,6.0,4.5,4.5,1.5,2.5,3.0,3.0,0.5,3.0,1.5,4.0,2.0,0,1.0,0,0,0,0.5,0.5,0,0.5,1.0,0,0,0.5,0,1.0,0,0
43,10.5,5.0,7.5,6.0,5.5,4.0,3.5,2.5,1.5,2.5,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0
44,9.0,8.5,6.0,5.5,5.5,3.5,5.5,5.0,0.5,5.0,4.5,3.5,3.5,2.5,1.0,1.0,3.0,1.0,0.5,0.5,1.5,0,1.0,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0,0
45,14.5,8.5,8.5,5.0,5.5,5.5,6.5,1.0,0.5,4.0,2.5,4.5,3.5,2.0,2.0,0.5,1.5,0,0.5,0,2.0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0
46,13.5,8.5,8.5,5.5,4.5,2.0,6.0,3.0,0,3.5,3.5,4.5,3.5,2.5,1.0,1.0,1.0,1.0,0.5,0,1.5,0,0.5,0,1.0,0,0,0,0,0,0,0,0,0
47,12.5,9.5,8.0,6.5,3.5,3.5,2.5,5.5,0.5,4.0,1.0,4.0,3.5,2.5,1.5,1.5,2.5,0.5,0.5,0,2.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
48,12.0,9.5,8.5,5.5,5.5,6.0,4.0,4.5,1.0,1.0,2.5,2.5,2.5,5.0,1.0,2.0,1.0,1.0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
49,11.5,9.0,8.0,5.0,4.5,4.0,4.0,4.5,2.5,2.0,2.0,3.5,1.0,1.5,1.0,1.0,1.0,0,0.5,0,1.0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0
50,7.5,8.5,9.0,5.5,5.5,3.0,6.5,5.5,1.5,1.0,2.5,2.5,2.0,4.5,2.0,0.5,1.0,1.0,1.0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0
