sentence_index,NN,JJ,NNS,IN,VBG,DT,NNP,VB,RB,CC,VBP,TO,VBZ,VBN,MD,CD,PRP,WRB,VBD,PRP$,WDT,WP,JJR,RBR,POS,NNPS,RBS,JJS,),(,FW,RP,EX,PDT
32,23.5,20.5,31.0,22.5,11.0,7.5,8.0,5.0,3.5,6.0,6.5,3.0,2.5,6.5,2.0,2.0,2.0,2.5,0.5,1.0,0,1.0,0.5,0,0,0,0,1.0,0,0,0,0.5,0,0
33,25.0,20.5,25.5,12.5,11.5,6.5,8.0,6.0,4.5,6.0,4.5,3.0,5.0,4.5,3.0,2.0,1.5,1.5,1.0,1.0,2.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
34,29.5,26.5,26.0,16.0,10.5,8.0,9.5,9.0,6.0,6.5,3.5,5.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,0.5,1.0,1.0,0,0,0,1.0,0,0,0.5,0.5,0,0,0,0
35,30.0,23.0,22.0,14.0,10.0,10.5,9.5,6.0,5.5,7.5,5.5,4.0,5.0,3.5,1.5,2.0,2.5,3.0,1.5,1.0,1.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0
36,33.0,23.5,21.0,20.0,10.5,7.5,7.0,9.0,5.5,6.5,2.5,4.0,6.0,5.5,2.5,2.0,1.0,1.0,0,2.5,1.0,1.0,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0
37,32.5,27.0,21.0,15.5,9.0,5.5,6.0,7.0,3.0,5.0,5.0,3.0,4.0,1.5,2.5,2.0,2.0,2.5,0,0.5,0.5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0.5,0
38,32.0,28.0,28.0,18.0,12.5,6.5,5.5,4.5,4.0,6.0,4.0,2.0,4.0,2.5,2.0,2.0,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0
39,24.5,29.5,35.0,20.0,12.5,4.0,7.0,6.5,4.0,5.0,4.5,3.5,4.0,6.0,3.0,2.0,1.0,1.5,1.0,1.0,1.5,1.0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0
40,31.5,27.5,28.0,15.5,14.0,7.0,4.5,6.5,3.0,7.0,7.5,4.5,5.5,3.0,1.0,2.0,1.5,1.5,1.5,0.5,2.0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0
41,33.5,26.0,26.5,23.0,12.5,8.5,10.0,6.5,5.5,7.0,5.5,5.5,4.5,2.0,0.5,2.0,2.0,1.5,0.5,1.0,0.5,0,1.0,0,1.0,0.5,0.5,0.5,0,0,0,0,0,0
42,30.0,28.5,25.0,19.5,14.5,7.5,10.5,6.0,6.5,5.5,4.0,2.5,3.5,4.0,2.0,2.0,1.5,2.0,2.0,1.0,1.0,0.5,0,0,0.5,0.5,0.5,0,1.0,1.0,0,0,0,0
43,36.0,25.5,27.0,23.5,13.0,10.5,7.0,5.0,2.5,5.5,4.0,4.0,4.0,2.5,1.5,2.5,1.5,2.0,1.0,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,0,0,0,0
44,34.5,35.0,28.5,22.5,11.0,8.0,14.5,11.0,9.0,6.5,4.5,5.5,3.5,3.0,4.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,0.5,1.0,0,0.5,0,0,0.5,0.5,0,0,0,0
45,33.5,30.0,26.5,17.5,13.0,7.0,14.0,7.5,5.5,5.0,5.5,4.5,5.5,2.0,1.5,2.5,2.0,1.5,0.5,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,30.5,23.0,26.0,19.5,12.0,9.5,13.0,8.5,8.0,6.0,3.5,3.5,4.5,2.0,1.5,2.5,2.0,2.0,1.5,1.0,1.5,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0
47,38.0,38.0,52.0,17.5,11.0,6.0,13.5,6.5,41.0,5.5,10.0,3.5,3.5,9.0,2.5,2.0,1.5,2.0,1.5,0,1.0,0.5,1.0,0.5,0,1.0,0,0,0,0,0,0,0,0
48,31.5,35.0,33.0,16.5,36.5,7.0,17.0,7.5,39.5,5.5,7.5,4.0,1.5,3.0,2.5,2.0,1.5,2.0,3.5,0.5,1.0,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0
49,98.0,28.0,30.0,18.5,15.5,8.5,14.5,9.5,20.5,6.0,9.0,4.0,2.0,4.0,2.5,2.0,2.0,1.0,1.5,0.5,1.5,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
50,30.5,48.0,33.5,17.5,17.0,4.0,14.5,12.5,26.0,6.0,2.5,5.5,2.5,28.5,4.5,2.0,0.5,1.0,15.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
