sentence_index,NN,IN,JJ,PRP,DT,RB,NNP,VB,VBZ,NNS,VBP,CC,VBG,VBD,PRP$,TO,WP,MD,RP,VBN,POS,WRB,CD,WDT,PDT,RBR,RBS,EX,UH,JJS,JJR,FW,NNPS
33,9,6,4,5,4,5,3,2,4,4,3,2,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
34,12,3,7,7,5,6,4,6,5,0,3,3,4,1,0,2,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
35,17,6,4,2,7,3,6,8,4,1,0,2,3,1,2,2,1,1,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0
36,14,10,6,5,11,3,12,4,2,4,3,3,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,9,10,7,7,5,8,7,3,4,4,3,1,1,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0
38,10,7,7,4,3,6,2,1,4,5,3,2,3,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
39,15,2,7,4,5,4,2,6,1,5,3,2,0,0,1,1,1,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
40,9,3,8,4,5,1,4,5,2,3,4,2,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
41,13,3,6,5,6,4,2,3,6,4,4,3,1,0,1,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
42,13,5,9,5,5,3,4,2,4,4,1,4,4,3,1,1,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
43,12,5,6,4,5,7,1,2,2,6,4,3,5,1,1,2,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0
44,11,5,9,5,6,2,5,5,3,2,2,3,2,3,1,3,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
45,12,7,7,4,6,1,2,7,2,0,1,3,7,0,2,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,16,9,5,1,5,1,4,3,2,0,0,3,1,1,2,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
47,10,6,9,5,6,5,4,5,4,4,0,3,0,1,1,2,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
48,7,7,4,6,4,7,3,2,5,4,1,2,3,3,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
49,9,6,5,6,7,2,6,4,5,4,3,3,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
50,12,8,8,2,7,5,2,1,4,6,2,2,2,0,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
