sentence_index,NN,IN,JJ,NNS,DT,PRP,RB,VBG,VB,CC,VBZ,VBP,NNP,VBD,PRP$,TO,WRB,MD,VBN,RP,WP,POS,WDT,JJR,CD,RBR,JJS,PDT,EX,UH,FW,NNPS,RBS,$,WP$,),(
29,15.5,14.0,12.0,9.5,6.0,6.5,7.5,7.5,5.5,4.0,3.5,3.5,4.0,3.5,1.0,2.0,1.5,0.5,1.0,1.0,1.5,0.5,1.0,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0
30,20.5,13.0,8.5,8.5,8.5,5.0,3.5,4.0,4.0,6.0,7.0,2.5,3.0,2.0,2.5,2.5,1.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0,0.5,1.0,0.5,0,0,0.5,0,0,0.5,0,0
31,23.0,14.0,5.5,3.5,9.5,10.5,8.5,5.5,5.5,3.5,8.0,5.0,6.0,3.5,3.0,4.0,3.0,2.0,1.0,1.0,2.5,0.5,1.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
32,19.5,14.5,15.0,5.5,9.0,8.0,2.0,6.0,6.5,5.5,4.5,2.0,6.5,3.0,3.0,2.5,2.0,1.0,0.5,1.5,0.5,1.0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
33,21.5,13.0,11.0,9.0,9.0,4.0,4.5,7.0,5.5,5.0,3.5,3.0,6.0,3.0,5.0,3.5,1.5,1.5,0.5,2.0,0,2.0,1.5,0,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
34,20.0,12.0,9.5,9.0,7.0,6.0,7.5,7.0,5.5,5.0,2.5,3.5,5.0,4.0,5.5,3.5,1.0,1.0,0.5,1.0,1.0,2.5,1.0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0
35,18.0,13.0,12.5,8.0,10.0,6.0,7.5,6.0,6.0,3.0,2.5,3.5,1.5,5.5,2.0,3.0,2.5,1.0,1.0,2.0,2.0,1.0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0.5,0.5
36,22.0,11.0,11.0,5.5,9.0,7.0,8.0,5.0,3.0,5.0,4.0,2.0,1.5,6.0,3.0,0.5,3.0,1.0,2.0,0.5,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
37,19.5,15.0,19.0,2.5,6.0,5.0,6.0,9.0,5.5,5.0,2.0,3.5,2.0,4.5,2.0,1.5,2.0,1.0,1.0,2.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
38,21.5,10.5,8.5,8.0,8.0,7.0,5.5,6.5,5.5,5.0,3.5,2.0,3.5,5.0,2.5,2.5,3.0,1.5,0.5,3.0,0.5,0.5,1.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
39,21.5,10.5,9.5,6.5,8.0,8.0,6.5,5.5,5.5,5.0,4.5,4.0,1.0,5.5,1.5,2.0,4.0,1.0,0.5,1.5,0.5,1.0,0.5,0.5,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0
40,23.0,15.5,10.5,7.5,10.5,7.5,9.5,6.0,5.5,5.0,3.0,2.0,1.0,6.0,2.5,3.0,3.0,1.5,2.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,22.0,12.0,12.0,8.0,10.5,6.5,5.5,5.5,3.5,5.0,2.5,2.0,1.0,6.5,1.0,1.0,3.5,1.5,0.5,3.0,0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,17.5,13.0,8.5,6.5,6.5,7.5,6.5,7.0,5.5,4.5,5.0,1.5,2.0,7.0,2.5,1.0,4.0,2.5,1.5,2.0,0.5,0.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
43,18.0,11.0,10.5,8.0,8.0,5.0,7.0,7.0,4.5,4.0,3.5,2.5,4.0,5.5,2.5,1.0,2.0,1.0,2.0,1.0,1.0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0
44,21.5,12.5,11.5,9.0,8.0,7.0,6.0,4.5,4.0,5.0,4.0,4.0,3.5,5.0,2.5,3.0,0.5,0.5,1.5,1.0,0.5,0.5,1.0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
45,18.5,12.0,10.0,8.0,7.5,8.0,6.5,3.5,6.0,5.5,5.0,4.5,2.5,4.0,1.5,2.0,2.5,0.5,2.0,1.5,0,0,0.5,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0
46,16.5,11.0,9.5,13.0,7.0,6.0,9.0,8.0,4.5,6.0,5.0,5.0,3.5,4.5,0.5,2.5,2.0,0.5,0,1.5,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,19.0,12.5,11.5,7.0,7.0,7.5,4.0,5.5,6.5,4.0,3.0,2.5,3.5,3.5,3.0,2.5,2.5,2.0,1.5,1.0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
48,19.0,10.5,12.0,6.5,6.0,6.5,5.0,6.0,2.5,4.5,4.5,5.5,2.0,2.5,3.0,1.0,1.0,0.5,2.0,1.5,3.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0
49,19.0,8.0,12.5,8.5,5.5,5.5,9.0,7.0,4.0,7.0,5.0,4.0,1.5,2.5,2.0,1.0,2.0,1.5,1.0,1.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,21.0,9.0,8.5,5.5,7.5,6.0,8.0,5.0,5.0,5.0,4.5,3.0,3.0,3.5,1.5,2.5,2.0,0,1.0,1.0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
