sentence_index,NN,NNS,JJ,IN,NNP,VB,VBG,DT,CC,MD,RB,TO,VBP,VBZ,VBN,PRP,WRB,PRP$,WDT,WP,JJR,VBD,POS,RBR,EX,NNPS,RP,(,),JJS,RBS,CD,UH,PDT,FW
31,23.0,22.0,23.0,14.5,7.5,9.0,7.5,8.0,5.5,5.0,4.5,4.5,5.0,3.0,3.5,1.5,2.0,1.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,25.0,23.5,17.5,13.5,11.0,9.5,9.0,6.0,5.0,5.5,4.5,5.0,2.0,3.5,1.0,1.0,3.0,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,21.5,23.0,18.5,12.0,10.0,13.0,5.5,6.0,5.5,5.0,2.5,6.5,2.0,0.5,2.5,1.0,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0
34,24.5,22.5,21.0,15.0,11.0,7.0,13.0,6.5,5.5,4.0,5.5,3.5,4.0,3.5,3.0,2.0,2.0,1.5,0.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
35,29.5,25.0,16.0,19.0,9.5,10.5,5.0,7.0,6.0,3.0,4.0,3.5,3.0,1.0,3.0,1.5,2.0,1.5,1.0,0.5,0.5,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0
36,26.5,23.5,18.0,14.0,10.0,9.5,6.0,5.5,5.0,4.5,6.5,4.5,3.5,1.0,0.5,1.5,2.5,2.5,1.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
37,27.5,29.0,23.5,17.5,11.5,8.0,4.0,6.0,6.0,3.0,1.0,5.0,3.0,0.5,3.0,0.5,1.0,2.5,1.0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0
38,25.5,26.5,25.0,12.0,10.0,9.0,11.5,6.0,7.5,6.5,4.0,2.5,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0
39,26.0,22.5,18.0,14.5,11.0,7.5,8.5,8.5,5.5,2.5,1.5,4.5,5.0,2.0,3.5,1.0,2.0,1.5,1.0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0
40,28.5,23.5,13.0,14.5,12.5,7.0,7.0,4.5,7.0,3.0,3.0,3.5,3.5,1.5,2.5,0.5,1.0,2.0,0.5,0.5,0,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
41,26.0,22.0,20.0,13.0,10.0,10.5,7.0,5.5,6.5,6.0,3.5,4.5,2.0,1.0,2.0,1.5,1.5,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,23.5,25.0,20.0,13.0,8.5,9.0,7.0,4.5,4.5,5.0,1.0,3.0,3.0,1.5,2.0,1.0,1.5,0.5,1.0,1.0,0.5,0,0.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0
43,24.0,26.0,14.0,12.5,12.0,8.5,5.5,6.0,4.5,3.0,2.5,5.0,3.5,1.0,2.0,0.5,1.5,1.5,0.5,1.5,0.5,1.0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0
44,29.5,28.0,17.0,11.5,12.5,9.0,4.5,5.5,8.0,3.5,2.5,3.5,1.5,0.5,0.5,0.5,1.5,0.5,1.5,0.5,0.5,0,1.0,1.0,0,0,0,0.5,0.5,0,0,0,0,0,0
45,24.0,23.0,19.5,12.0,12.0,12.0,4.5,6.5,7.5,6.0,2.5,5.5,0.5,1.0,1.5,1.5,2.0,1.0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
46,23.5,18.5,21.0,13.5,10.5,10.0,9.0,6.5,4.0,7.0,5.5,3.0,1.5,2.0,2.0,1.5,2.0,0.5,1.0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0
47,24.5,21.5,15.5,11.0,10.0,8.0,4.5,6.0,4.5,3.5,4.5,3.5,2.0,4.0,1.0,1.0,0.5,1.0,0.5,0.5,0,1.0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0
48,25.0,21.0,15.5,18.5,10.5,8.0,7.5,5.5,5.5,5.5,4.0,3.0,1.0,2.5,2.5,1.0,2.0,0.5,0.5,0,1.0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
49,32.0,19.0,15.0,15.5,10.0,7.0,8.5,9.0,7.0,3.5,5.5,3.0,1.5,1.5,2.0,0.5,1.5,0,0.5,0,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0
50,27.0,23.0,15.5,12.0,9.0,9.5,6.5,3.5,6.5,4.5,3.5,5.5,3.0,2.0,2.0,1.5,1.0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
